DOID:0050425	C0035258
DOID:2163	C0339820
DOID:5557	C1336708
DOID:6132	C0149514
DOID:0050742	C0028043
DOID:3907	C0149782
DOID:2841	C0004096
DOID:13922	C0341106
DOID:10976	C0017665
DOID:1909	C0025202
DOID:1724	C0013295
DOID:2055	C0038436
DOID:4914	C0279628
DOID:14042	C0236773
DOID:1107	C0152018
DOID:1749	C0751688
DOID:10871	C0242383
DOID:8923	C0151779
DOID:11612	C0032460
DOID:289	C0014175
DOID:1024	C0023343
DOID:10892	C0848558
DOID:3748	C0279626
DOID:9744	C0011854
DOID:3451	C0699893
DOID:0050591	C0399352
DOID:9206	C0004763
DOID:14268	C0008313
DOID:409	C0023895
DOID:10003	C0018784
DOID:684	C2239176
DOID:12169	C0007286
DOID:769	C0027819
DOID:8536	C0019360
DOID:8936	C0158360
DOID:7148	C0003873
DOID:9538	C0026764
DOID:13189	C0018099
DOID:7693	C0162871
DOID:3606	C1335167
DOID:13378	C0026691
DOID:14018	C0023891
DOID:1826	C0014544
DOID:11934	C0018671
DOID:8557	C0153390
DOID:6543	C0702166
DOID:9561	C0027438
DOID:10211	C0006739
DOID:8618	C0496758
DOID:1827	C0014548
DOID:12361	C0018213
DOID:9970	C0028754
DOID:3068	C1514422
DOID:7998	C3714618
DOID:418	C0036421
DOID:14221	C0524620
DOID:0060224	C0004238
DOID:1682	C0018798
DOID:216	C1456145
DOID:9008	C0003872
DOID:3459	C0678222
DOID:2513	C1368295
DOID:10873	C0271084
DOID:11476	C0029456
DOID:8534	C0017168
DOID:9351	C0011849
DOID:2043	C0019163
DOID:676	C0409667
DOID:2998	C1333010
DOID:37	C0037277
DOID:987	C0002170
DOID:12217	C0752347
DOID:1405	C0017606
DOID:706	C1334633
DOID:5082	C0023890
DOID:7188	C0920350
DOID:0050156	C1800706
DOID:3963	C0549473
DOID:3910	C1335060
DOID:332	C0002736
DOID:1184	C0027726
DOID:12236	C0023892
DOID:824	C0031099
DOID:3905	C0684249
DOID:4001	C0677886
DOID:3908	C0007131
DOID:5844	C0027051
DOID:11714	C0085207
DOID:0080001	C0005940
DOID:784	C0022661
DOID:12894	C1527336
DOID:1712	C0155567
DOID:0050426	C0038325
DOID:1040	C0023434
DOID:13223	C0042133
DOID:3159	C0031762
DOID:2986	C0017661
DOID:12306	C0042900
DOID:6713	C0007820
DOID:8893	C0033860
DOID:11119	C0040517
DOID:10652	C0002395
DOID:2876	C0280324
DOID:10763	C0020538
DOID:585	C0156257
DOID:4905	C0235974
DOID:1459	C0020676
DOID:4988	C0376670
DOID:1849	C0006870
DOID:2871	C0476089
DOID:9952	C1335469
DOID:5408	C0029401
DOID:4481	C0002103
DOID:0060262	C0016977
DOID:986	C0002171
DOID:12930	C0007193
DOID:7147	C0038013
DOID:1883	C0019196
DOID:3310	C0011615
DOID:8577	C0375359
DOID:10941	C0007766
DOID:9296	C0158651
DOID:4450	C0007134
DOID:8567	C0019829
DOID:0050589	C0021390
DOID:8398	C0157946
DOID:13241	C0004943
DOID:5517	C0699791
DOID:4362	C0007873
DOID:5295	C0021831
DOID:3620	C0348374
DOID:12365	C0024530
DOID:178	C0752130
DOID:10608	C0007570
DOID:633	C0027121
DOID:2508	C0039263
